Año de publicación;Autores;Titulo del articulo;DOI correcto;Palabras clave;Resumen muy corto;Relevancia con fitosanidad en arándanos;Estado Descarga;Ruta Local;Hoja Origen;URL ArXiv
2023;Saurav Sagar, Mohammed Javed, David S Doermann;Leaf-Based Plant Disease Detection and Explainable AI;ArXiv:2404.16833;"cs.CV, cs.AI, cs.LG; plant disease; detection; deep learning";The agricultural sector plays an essential role in the economic growth of a country. Specifically, in an Indian context, it is the critical source of livelihood for millions of people living in rural areas.;Media (8);Success;arxiv-2404.16833.pdf;ArXiv MCP Search;http://arxiv.org/abs/2404.16833v1
2023;Mingle Xu, Ji Eun Park, Jaehwan Lee, Jucheng Yang, Sook Yoon;Plant Disease Recognition Datasets in the Age of Deep Learning: Challenges and Opportunities;ArXiv:2312.07905;"cs.CV; plant disease; deep learning";Plant disease recognition has witnessed a significant improvement with deep learning in recent years. Although plant disease datasets are essential and many relevant datasets are public available, two fundamental questions exist.;Baja (6);Success;arxiv-2312.07905.pdf;ArXiv MCP Search;http://arxiv.org/abs/2312.07905v1
2025;Yanghui Song, Chengfu Yang;DS_FusionNet: Dynamic Dual-Stream Fusion with Bidirectional Knowledge Distillation for Plant Disease Recognition;10.54097/mj2fea78;"cs.CV; plant disease; classification";Given the severe challenges confronting the global growth security of economic crops, precise identification and prevention of plant diseases has emerged as a critical issue in artificial intelligence-enabled agricultural technology.;Baja (6);Success;arxiv-2504.20948.pdf;ArXiv MCP Search;http://arxiv.org/abs/2504.20948v3
2025;Tekleab G. Gebremedhin, Hailom S. Asegede, Bruh W. Tesheme, Tadesse B. Gebremichael, Kalayu G. Redae;Automated Plant Disease and Pest Detection System Using Hybrid Lightweight CNN-MobileViT Models for Diagnosis of Indigenous Crops;ArXiv:2512.11871;"cs.CV, cs.AI; plant disease; crop disease; fungal; detection; pest; agriculture";Agriculture supports over 80% of the population in the Tigray region of Ethiopia, where infrastructural disruptions limit access to expert crop disease diagnosis.;Alta (18);Success;arxiv-2512.11871.pdf;ArXiv MCP Search;http://arxiv.org/abs/2512.11871v1
2022;Poornima Singh Thakur, Pritee Khanna, Tanuja Sheorey, Aparajita Ojha;Explainable vision transformer enabled convolutional neural network for plant disease identification: PlantXViT;ArXiv:2207.07919;"cs.CV; plant disease; detection; deep learning; classification; agriculture";Plant diseases are the primary cause of crop losses globally, with an impact on the world economy.;Alta (12);Success;arxiv-2207.07919.pdf;ArXiv MCP Search;http://arxiv.org/abs/2207.07919v1
2021;Arunabha M. Roy, Rikhi Bose, Jayabrata Bhaduri;A fast accurate fine-grain object detection model based on YOLOv4 deep neural network;ArXiv:2111.00298;"cs.CV, cs.LG; plant disease; detection; agriculture; precision agriculture";Early identification and prevention of various plant diseases in commercial farms and orchards is a key feature of precision agriculture technology.;Media (11);Success;arxiv-2111.00298.pdf;ArXiv MCP Search;http://arxiv.org/abs/2111.00298v1
2024;Jihen Amara, Birgitta König-Ries, Sheeba Samuel;Explainability of Deep Learning-Based Plant Disease Classifiers Through Automated Concept Identification;ArXiv:2412.07408;"cs.CV, cs.AI; plant disease; detection; deep learning; classification; agriculture";While deep learning has significantly advanced automatic plant disease detection through image-based classification, improving model explainability remains crucial for reliable disease detection.;Alta (12);Success;arxiv-2412.07408.pdf;ArXiv MCP Search;http://arxiv.org/abs/2412.07408v1
2025;Muhammad Hassam Ejaz, Muhammad Bilal, Usman Habib, Muhammad Attique, Tae-Sun Chung;Crop Pest Classification Using Deep Learning Techniques: A Review;ArXiv:2507.01494;"cs.CV, cs.AI; detection; deep learning; classification; pest; insect";Insect pests continue to bring a serious threat to crop yields around the world, and traditional methods for monitoring them are often slow, manual, and difficult to scale.;Media (11);Success;arxiv-2507.01494.pdf;ArXiv MCP Search;http://arxiv.org/abs/2507.01494v3
2025;Enow Takang Achuo Albert, Ngalle Hermine Bille, Ngonkeu Mangaptche Eddy Leonard;Leveraging deep learning for plant disease identification: a bibliometric analysis in SCOPUS from 2018 to 2024;10.25081/jsa.2025.v9.9412;"cs.LG; plant disease; deep learning";This work aimed to present a bibliometric analysis of deep learning research for plant disease identification, with a special focus on generative modeling. A thorough analysis of SCOPUS-sourced bibliometric data from 253 documents was performed.;Baja (6);Success;arxiv-2504.07342.pdf;ArXiv MCP Search;http://arxiv.org/abs/2504.07342v1
2025;Saptarshi Banerjee, Tausif Mallick, Amlan Chakroborty, Himadri Nath Saha, Nityananda T. Takur;Evaluation of State-of-the-Art Deep Learning Techniques for Plant Disease and Pest Detection;10.32604/cmc.2025.065250;"cs.CV, cs.AI; plant disease; detection; deep learning; pest";Addressing plant diseases and pests is critical for enhancing crop production and preventing economic losses.;Media (11);Success;arxiv-2508.08317.pdf;ArXiv MCP Search;http://arxiv.org/abs/2508.08317v1
2025;Saif Ur Rehman Khan, Muhammad Nabeel Asim, Sebastian Vollmer, Andreas Dengel;FloraSyntropy-Net: Scalable Deep Learning with Novel FloraSyntropy Archive for Large-Scale Plant Disease Diagnosis;ArXiv:2508.17653;"cs.CV; plant disease; deep learning; pest";Early diagnosis of plant diseases is critical for global food safety, yet most AI solutions lack the generalization required for real-world agricultural diversity.;Media (9);Success;arxiv-2508.17653.pdf;ArXiv MCP Search;http://arxiv.org/abs/2508.17653v1
2016;Mamadou Ciss, Sylvain Poggi, Mohamed-Mahmoud Memmah, Pierre Franck, Marie Gosme, Nicolas Parisey, Lionel Roques;A model-based approach to assess the effectiveness of pest biocontrol by natural enemies;ArXiv:1602.06584;"q-bio.PE; pest; biocontrol; pesticide";Main goal: The aim of this note is to propose a modeling approach for assessing the effectiveness of pest biocontrol by natural enemies in diversified agricultural landscapes including several pesticide-based management strategies.;Media (10);Success;arxiv-1602.06584.pdf;ArXiv MCP Search;http://arxiv.org/abs/1602.06584v1
2025;Aoduo Li, Peikai Lin, Jiancheng Li, Zhen Zhang, Shiting Wu, Zexiao Liang, Zhifa Jiang;Forestpest-YOLO: A High-Performance Detection Framework for Small Forestry Pests;ArXiv:2510.00547;"cs.CV, cs.AI; detection; pest";Detecting agricultural pests in complex forestry environments using remote sensing imagery is fundamental for ecological preservation, yet it is severely hampered by practical challenges.;Baja (5);Success;arxiv-2510.00547.pdf;ArXiv MCP Search;http://arxiv.org/abs/2510.00547v1
2018;Pierre Barré, Katja Herzog, Rebecca Höfle, Matthias B. Hullin, Reinhard Töpfer, Volker Steinhage;Automated Phenotyping of Epicuticular Waxes of Grapevine Berries Using Light Separation and Convolutional Neural Networks;ArXiv:1807.07343;"cs.CV; berry; grapevine; grape; botrytis";In viticulture the epicuticular wax as the outer layer of the berry skin is known as trait which is correlated to resilience towards Botrytis bunch rot.;Alta (15);Success;arxiv-1807.07343.pdf;ArXiv Batch 2 - Agronomía de campo;http://arxiv.org/abs/1807.07343v3
2021;Stephanie M. Lewkiewicz, Sebastiano De Bona, Matthew R. Helmus, Benjamin Seibold;Temperature sensitivity of pest reproductive numbers in age-structured PDE models, with a focus on the invasive spotted lanternfly;ArXiv:2112.11448;"q-bio.PE; temperature; pest population; agriculture; field";Invasive pest establishment is a pervasive threat to global ecosystems, agriculture, and public health.;Media (11);Success;arxiv-2112.11448.pdf;ArXiv Batch 2 - Agronomía de campo;http://arxiv.org/abs/2112.11448v1
2023;Daniel Strömbom, Autumn Sands, Jason M. Graham, Amanda Crocker, Cameron Cloud, Grace Tulevech, Kelly Ward;Modeling human activity-related spread of the spotted lanternfly (Lycorma delicatula) in the US;10.1371/journal.pone.0307754;"q-bio.PE, q-bio.QM; ";The spotted lanternfly (Lycorma delicatula) has recently spread from its native range to several other countries and forecasts predict that it may become a global invasive pest.;Baja (0);Success;arxiv-2312.03338.pdf;ArXiv Batch 2 - Agronomía de campo;http://arxiv.org/abs/2312.03338v1
2024;Asmae Hardoul, Zoubida Mghazli;A Complete Mathematical Model For Trichoderma Fungi Kinetics;ArXiv:2404.03839;"math.DS; fungus; trichoderma";We develop an unstructured mathematical model describing the growth kinetics of the Trichoderma fungus and the production of enzymes (cellulase) by degradation of a substrate (cellulose) in the rhizosphere.;Baja (8);Success;arxiv-2404.03839.pdf;ArXiv Batch 2 - Agronomía de campo;http://arxiv.org/abs/2404.03839v2
2021;Aniket Banerjee, Ivair Valmorbida, Matthew O'Neal, Rana Parshad;"Exploring the Dynamics of Virulent and Avirulent Aphids: A Case for a ""Within Plant"" Refuge";10.1093/jee/toab218;"math.DS, q-bio.PE; resistance; field";The soybean aphid, Aphis glycines (Hemiptera: Aphididae), is an invasive pest that can cause severe yield loss to soybeans in the northcentral United States. A tactic to counter this pest is the use of aphid-resistant soybean varieties.;Baja (5);Success;arxiv-2109.00121.pdf;ArXiv Batch 2 - Agronomía de campo;http://arxiv.org/abs/2109.00121v2
2024;Forkan Uddin Ahmed, Annesha Das, Md Zubair;A Machine Learning Approach for Crop Yield and Disease Prediction Integrating Soil Nutrition and Weather Factors;ArXiv:2403.19273;"cs.LG, cs.AI; crop disease; temperature; weather; humidity; agriculture";The development of an intelligent agricultural decision-supporting system for crop selection and disease forecasting in Bangladesh is the main objective of this work. The economy of the nation depends heavily on agriculture.;Alta (15);Success;arxiv-2403.19273.pdf;ArXiv Batch 2 - Agronomía de campo;http://arxiv.org/abs/2403.19273v1
2023;Mandana Mirbakhsh;Role of Nano-fertilizer in Plants Nutrient Use Efficiency (NUE)- A mini-review;10.33140/JGEBR;"q-bio.TO; climate; nano-fertilizer; soil health";Over the past half-century, the combination of technology and innovation has been developed to manage the negative impact of synthetic fertilizer on land ecosystems to identify the limitations of sustainability and optimize agricultural systems.;Media (9);Success;arxiv-2305.14357.pdf;ArXiv Batch 2 - Agronomía de campo;http://arxiv.org/abs/2305.14357v1
2023;Jack Dekker;How a simple chloroplast psbA gene mutation changed world agriculture;ArXiv:2302.03471;"q-bio.PE; temperature; herbicide; resistance; agriculture";Atrazine as a weed control tactic profoundly changed world agriculture. Long-term use revealed resistant biotypes, R, with a single base pair mutation of the chloroplast psbA gene.;Media (12);Success;arxiv-2302.03471.pdf;ArXiv Batch 2 - Agronomía de campo;http://arxiv.org/abs/2302.03471v1
2025;Farshad Habibi;Ecological Management of Wild Oat (Avena fatua L.) in Winter Wheat: Modeling Yield Loss and Determination of Economic Thresholds under Varying Crop Densities;ArXiv:2512.13718;"q-bio.TO; herbicide; resistance";Wild oat (Avena fatua L.) is widely recognized as one of the most detrimental grassy weeds in winter wheat production systems globally.;Baja (7);Success;arxiv-2512.13718.pdf;ArXiv Batch 2 - Agronomía de campo;http://arxiv.org/abs/2512.13718v1
2019;Lydie Kerdraon, Valérie Laval, Frédéric Suffert;Microbiomes and pathogen survival in crop residues, an ecotone between plant and soil;ArXiv:1903.02246;"q-bio.PE; fungal; biocontrol; pathogen; epidemiology; epidemic; crop residue";This review focuses on microbiomes associated with residues within the context of other microbial habitats in cereal-producing agroecosystems such as phyllosphere or rhizosphere.;Alta (20);Success;arxiv-1903.02246.pdf;ArXiv Batch 2 - Agronomía de campo;http://arxiv.org/abs/1903.02246v3
2021;Teklebirhan Abraha, Fahad Al Basir, Legesse Lemecha Obsu, Delfim F. M. Torres;Pest control using farming awareness: impact of time delays and optimal use of biopesticides;10.1016/j.chaos.2021.110869;"math.OC, q-bio.QM; pest management; integrated pest; pesticide; biological control; biopesticide; pest population; field";We investigate a mathematical model in crop pest management, considering plant biomass, pest, and the effect of farming awareness. The pest population is divided into two compartments: susceptible pest and infected pest.;Alta (28);Success;arxiv-2103.06007.pdf;ArXiv Batch 2 - Agronomía de campo;http://arxiv.org/abs/2103.06007v1
2013;Alexey Mikaberidze, Bruce A. McDonald, Sebastian Bonhoeffer;Can high risk fungicides be used in mixtures without selecting for fungicide resistance?;10.1094/PHYTO-07-13-0204-R;"q-bio.PE; fungal; fungicide; resistance; pathogen";Fungicide mixtures produced by the agrochemical industry often contain low-risk fungicides, to which fungal pathogens are fully sensitive, together with high-risk fungicides known to be prone to fungicide resistance.;Media (14);Success;arxiv-1301.6561.pdf;ArXiv Batch 2 - Agronomía de campo;http://arxiv.org/abs/1301.6561v2
2012;Francisco J. Perez-Reche, Franco M. Neri, Sergei N. Taraskin, Christopher A. Gilligan;Prediction of invasion from the early stage of an epidemic;10.1098/rsif.2012.0130;"q-bio.PE, stat.AP; fungal; pathogen; epidemiology; epidemic";Predictability of undesired events is a question of great interest in many scientific disciplines including seismology, economy, and epidemiology.;Media (12);Success;arxiv-1210.1844.pdf;ArXiv Batch 2 - Agronomía de campo;http://arxiv.org/abs/1210.1844v1
2025;Jiangnan Zhao, Hanbo Xu, Cifu Xu, Wenlong Yin, Laixin Luo, Gang Liu, Yan Wang;Smartphone-integrated RPA-CRISPR-Cas12a Detection System with Microneedle Sampling for Point-of-Care Diagnosis of Potato Late Blight in Early Stage;ArXiv:2506.15728;"q-bio.QM, cs.CV, q-bio.BM; ipm; plant disease; phytophthora; pathogen; field";Potato late blight, caused by the oomycete pathogen Phytophthora infestans, is one of the most devastating diseases affecting potato crops in the history.;Alta (19);Success;arxiv-2506.15728.pdf;ArXiv Batch 2 - Agronomía de campo;http://arxiv.org/abs/2506.15728v1
2024;Jianlie Shen, Shulin Wan, Haidong Tan;Postharvest litchi (Litchi chinensis Sonn.) quality preservation by alginate oligosaccharides;ArXiv:2403.01383;"q-bio.OT; temperature; humidity; postharvest";This study investigates the efficacy of alginate oligosaccharides, derived from a novel alginate lyase expressed in E. coli (Pet21a-alginate lyase), in preserving the postharvest quality of litchi (Litchi chinensis Sonn.) fruits.;Media (10);Success;arxiv-2403.01383.pdf;ArXiv Batch 2 - Agronomía de campo;http://arxiv.org/abs/2403.01383v1
2013;Kentaro Yoshida, Verena J. Schuenemann, Liliana M. Cano, Marina Pais, Bagdevi Mishra, Rahul Sharma, Christa Lanz, Frank N. Martin, Sophien Kamoun, Johannes Krause, Marco Thines, Detlef Weigel, Hernán A. Burbano;The rise and fall of the Phytophthora infestans lineage that triggered the Irish potato famine;10.7554/eLife.00731;"q-bio.GN; phytophthora; epidemic";Phytophthora infestans, the cause of potato late blight, is infamous for having triggered the Irish Great Famine in the 1840s. Until the late 1970s, P.;Baja (8);Success;arxiv-1305.4206.pdf;ArXiv Batch 2 - Agronomía de campo;http://arxiv.org/abs/1305.4206v1
2020;J. E. Ramírez, C. Pajares, M. I. Martínez, R. Rodríguez Fernández, E. Molina-Gayosso, J. Lozada-Lechuga, A. Fernández Téllez;Site-bond percolation solution to preventing the propagation of \textit{Phytophthora} zoospores on plantations;10.1103/PhysRevE.101.032301;"q-bio.PE, cond-mat.stat-mech, physics.soc-ph; phytophthora; pathogen; spore";We propose a strategy based on the site-bond percolation to minimize the propagation of \textit{Phytophthora} zoospores on plantations, consisting in introducing physical barriers between neighboring plants.;Media (12);Success;arxiv-2004.09644.pdf;ArXiv Batch 2 - Agronomía de campo;http://arxiv.org/abs/2004.09644v1
2020;Marie-Josée Cros, Jean-Noël Aubertot, Sabrina Gaba, Xavier Reboud, Régis Sabbadin, Nathalie Peyrard;Improving Pest Monitoring Networks in order to reduce pesticide use in agriculture;ArXiv:2002.00951;"q-bio.PE, stat.AP; pesticide; pathogen; epidemic; pest dynamics; crop protection; agriculture; monitoring";Disease and pest control largely rely on pesticides use and progress still remains to be made towards more sustainable practices.;Alta (20);Success;arxiv-2002.00951.pdf;ArXiv Batch 2 - Agronomía de campo;http://arxiv.org/abs/2002.00951v1
2020;Zhiyuan Fu, Yuanming Lu, Donald DeAngelis, Bo Zhang;Projecting the optimal control strategy on invasive plants combining effects of herbivores and native plants resistance;ArXiv:2010.14944;"q-bio.PE, math.OC; resistance; biocontrol; dispersal";Understanding how to limit biological invasion is critical, especially in the context of accelerating anthropogenic ecological changes.;Media (11);Success;arxiv-2010.14944.pdf;ArXiv Batch 2 - Agronomía de campo;http://arxiv.org/abs/2010.14944v1
2020;Patrick Fickers, Valérie Leclére, Jean-Sebastien Guez, Max Béchet, Françoise Coucheney, Bernard Joris, Philippe Jacques;Temperature dependence of mycosubtilin homologue production in Bacillus subtilis ATCC6633;10.1016/j.resmic.2008.05.004;"q-bio.BM; temperature; bacillus; mycosubtilin; antagonistic; pathogen";Bacillus subtilis ATCC6633 produces mycosubtilin, a non-ribosomally synthesized lipopeptide of the iturin family which presents antagonistic activities toward various phytopathogens.;Alta (18);Success;arxiv-2009.10375.pdf;ArXiv Batch 2 - Agronomía de campo;http://arxiv.org/abs/2009.10375v1
2025;Xu Chen, Wenxuan Li, Xiaoshuang Li, Suli Liu, Yu Gao;Modeling the Temperature-Humidity Coupling Dynamics of Soybean Pod Borer Population and Assessing the Predictive Performance of the PCM-NN Algorithm;ArXiv:2508.03238;"math.DS; climate; temperature; humidity; pest population; pest dynamics; monitoring";Against the backdrop of global climate change and agricultural globalization, soybean production is increasingly threatened by pest outbreaks, with Leguminivora glycinivorella (commonly known as the soybean pod borer) being a major pest species.;Alta (19);Success;arxiv-2508.03238.pdf;ArXiv Batch 2 - Agronomía de campo;http://arxiv.org/abs/2508.03238v1
2025;Awa Amadou Sall, Elhadji Faye, Pierre Guillemin, Oumar Konté, Mehdi Saqalli;Climate adaptation of millet and sorghum varieties in North-Eastern Senegal: cross-referencing rainfall, thermal and phenological parameters;10.4000/13gk4;"physics.geo-ph; pest management; integrated pest; climate; temperature; biological control; crop protection";Millet (Pennisetum glaucum) and sorghum (Sorghum bicolor) are the main rainfed cereals grown in North-Eastern Senegal.;Alta (23);Success;arxiv-2504.04965.pdf;ArXiv Batch 2 - Agronomía de campo;http://arxiv.org/abs/2504.04965v1
2025;Urvashi Verma, Kanishka Goyal, Chanaka Kottegoda, Rana D. Parshad;An additional food driven biological control patch model, incorporating generalized competition;ArXiv:2510.06111;"q-bio.PE; pest management; climate; biological control; dispersal";Additional food sources for an introduced predator are known to increase its efficiency on a target pest.;Alta (15);Success;arxiv-2510.06111.pdf;ArXiv Batch 2 - Agronomía de campo;http://arxiv.org/abs/2510.06111v1
2023;Shimal Yonuis Abdulhadi, Ghazwan Qasim Hasan, Raghad Nawaf Gergees;Molecular detection and antimicrobial activity of Endophytic fungi isolated from a medical plant Rosmarinus officinalis;10.36295/ASRO.2020.231384;"q-bio.GN; fungal; fungus; trichoderma; bacillus; endophytic";Endophytes are tiny organisms present in living tissues of distinct plants and have been extensively studied for their endophytic microbial complement.;Alta (19);Success;arxiv-2303.05242.pdf;ArXiv Batch 2 - Agronomía de campo;http://arxiv.org/abs/2303.05242v1
2023;Zixuan Wu, Saikat Basu, Seungho Kim, Mark Sorrells, Francisco J. Beron-Vera, Sunghwan Jung;Coherent spore dispersion via drop-leaf interactions;ArXiv:2306.13869;"physics.flu-dyn; crop disease; rust; pathogen; spore";The dispersion of plant pathogens, such as rust spores, is responsible for more than 20% of global yield loss annually, and poses a significant threat to human health.;Media (14);Success;arxiv-2306.13869.pdf;ArXiv Batch 2 - Agronomía de campo;http://arxiv.org/abs/2306.13869v3
2023;Andrea Radici, Daniele Bevacqua, Leonardo Miele, Davide Martinetti;Network-thinking to optimize surveillance and control of crop parasites. A review;ArXiv:2310.07442;"q-bio.PE; crop protection; monitoring; surveillance";Increasing cultivated lands, crop homogenization and global food trade have fostered the spread of crop pests and diseases. Optimizing crop protection is urgently needed to ensure food safety.;Baja (8);Success;arxiv-2310.07442.pdf;ArXiv Batch 2 - Agronomía de campo;http://arxiv.org/abs/2310.07442v1
